,score,home_id,away_id,league_id,status,fixture_id,last_changed,away_name,location,added,scheduled,events,h2h,ft_score,date,et_score,competition_name,ht_score,home_name,competition_id,time,id,full_time,extra_time,half_time
5,2-Feb,1438,1435,794,FINISHED,0,6/25/18 20:01,Morocco,,6/25/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94887&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1438&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1435&key=sAyccMI0kNtc6o2t,2-Feb,6/25/18,,FIFA World Cup,1-Jan,Spain,362,FT,94887,X,,X
6,0 - 2,1440,1441,795,FINISHED,0,6/26/18 15:58,Peru,,6/26/18 13:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94906&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1440&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1441&key=sAyccMI0kNtc6o2t,0 - 2,6/26/18,,FIFA World Cup,0 - 1,Australia,362,FT,94906,2,,2
7,0 - 0,1442,1439,795,FINISHED,0,6/26/18 15:56,France,,6/26/18 13:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94907&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1442&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1439&key=sAyccMI0kNtc6o2t,0 - 0,6/26/18,,FIFA World Cup,0 - 0,Denmark,362,FT,94907,X,,X
8,2-Jan,1444,211,796,FINISHED,0,6/26/18 19:57,Croatia,,6/26/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94927&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1444&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=211&key=sAyccMI0kNtc6o2t,2-Jan,6/26/18,,FIFA World Cup,0 - 0,Iceland,362,FT,94927,2,,X
9,2-Jan,1445,1443,796,FINISHED,0,6/26/18 19:58,Argentina,,6/26/18 17:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94928&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1445&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1443&key=sAyccMI0kNtc6o2t,2-Jan,6/26/18,,FIFA World Cup,0 - 1,Nigeria,362,FT,94928,2,,2
10,0 - 3,1450,1451,798,FINISHED,0,6/27/18 15:58,Sweden,,6/27/18 13:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94953&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1450&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1451&key=sAyccMI0kNtc6o2t,0 - 3,6/27/18,,FIFA World Cup,0 - 0,Mexico,362,FT,94953,2,,X
11,Feb-00,1452,1449,798,FINISHED,0,6/27/18 16:03,Germany,,6/27/18 13:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94954&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1452&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1449&key=sAyccMI0kNtc6o2t,Feb-00,6/27/18,,FIFA World Cup,0 - 0,South Korea,362,FT,94954,1,,X
12,0 - 2,1447,1448,797,FINISHED,0,6/27/18 19:55,Brazil,,6/27/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94971&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1447&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1448&key=sAyccMI0kNtc6o2t,0 - 2,6/27/18,,FIFA World Cup,0 - 1,Serbia,362,FT,94971,2,,2
13,2-Feb,208,1446,797,FINISHED,0,6/27/18 19:57,Costa Rica,,6/27/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94972&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=208&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1446&key=sAyccMI0kNtc6o2t,2-Feb,6/27/18,,FIFA World Cup,Jan-00,Switzerland,362,FT,94972,X,,1
14,0 - 1,1458,1459,800,FINISHED,0,6/28/18 15:57,Poland,,6/28/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94984&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1458&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1459&key=sAyccMI0kNtc6o2t,0 - 1,6/28/18,,FIFA World Cup,0 - 0,Japan,362,FT,94984,2,,X
15,0 - 1,1460,1457,800,FINISHED,0,6/28/18 15:58,Colombia,,6/28/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94985&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1460&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1457&key=sAyccMI0kNtc6o2t,0 - 1,6/28/18,,FIFA World Cup,0 - 0,Senegal,362,FT,94985,2,,X
16,0 - 1,1456,1453,799,FINISHED,0,6/28/18 19:55,Belgium,,6/28/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94990&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1456&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1453&key=sAyccMI0kNtc6o2t,0 - 1,6/29/18,,FIFA World Cup,0 - 0,England,362,FT,94990,2,,X
17,2-Jan,1454,1455,799,FINISHED,0,6/28/18 20:01,Tunisia,,6/28/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=94991&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1454&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1455&key=sAyccMI0kNtc6o2t,2-Jan,6/29/18,,FIFA World Cup,Jan-00,Panama,362,FT,94991,2,,1
18,3-Apr,1439,1443,801,FINISHED,0,6/30/18 15:58,Argentina,,6/30/18 13:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95089&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1439&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1443&key=sAyccMI0kNtc6o2t,3-Apr,6/30/18,,FIFA World Cup,1-Jan,France,362,FT,95089,1,,X
19,1-Feb,1434,1437,801,FINISHED,0,6/30/18 20:00,Portugal,,6/30/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95116&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1434&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1437&key=sAyccMI0kNtc6o2t,1-Feb,6/30/18,,FIFA World Cup,Jan-00,Uruguay,362,FT,95116,1,,1
20,1-Jan,1438,1431,801,FINISHED,0,7/1/18 16:41,Russia,,7/1/18 13:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95206&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1438&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1431&key=sAyccMI0kNtc6o2t,1-Jan,7/1/18,,FIFA World Cup,1-Jan,Spain,362,Pen,95206,X,,X
21,1-Jan,211,1442,801,FINISHED,0,7/1/18 20:46,Denmark,,7/1/18 17:57,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95235&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=211&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1442&key=sAyccMI0kNtc6o2t,1-Jan,7/1/18,,FIFA World Cup,1-Jan,Croatia,362,Pen,95235,X,,X
22,Feb-00,1448,1450,801,FINISHED,0,7/2/18 15:54,Mexico,,7/2/18 13:56,,https://livescore-api.com/api-client/scores/events.json?secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&id=95250&key=sAyccMI0kNtc6o2t,https://livescore-api.com/api-client/teams/head2head.json?team1_id=1448&secret=qDty37iEy2ENubtXL2aYOTY9GslMQogh&team2_id=1450&key=sAyccMI0kNtc6o2t,Feb-00,7/2/18,,FIFA World Cup,0 - 0,Brazil,362,FT,95250,1,,X
